building_name,year_started,year_gone,valuation,url
"Horticulture Hall & Greenhouse",1914,,"661,848",/texts/buildings/111day-horticulture-hall-greenhouse/
"Lyon Hall",1914,,"178,869",/texts/buildings/129day-lyon-hall/
"Stadium (Clyde Williams Field)","1914 (25,30,32,61,66)",1978,"1,100,183",/texts/buildings/204day-stadium-clyde-williams/
"Freeman Hall",1915,,"299,676",/texts/buildings/083day-freeman-hall/
"Science Hall","1915,53",,"1,537,124",/texts/buildings/190day-science-hall/
"Barton Hall",1916,,"261,048",/texts/buildings/015day-barton-hall/
"Gun Shed",1916,1924,500,/texts/buildings/096day-gun-shed/
"Horticulture Cottage",1916,1959,"4,000",/texts/buildings/109day-horticulture-cottage/
"Meat Laboratory",1916,,"53,485",/texts/buildings/137day-meat-lab/
"Student Services Building","1916,23",,"901,921",/texts/buildings/208day-student-services/
Duplex,1917,1970,"5,900",/texts/buildings/055day-duplex/
"Rendering Plant",1917,1936,"2,500",/texts/buildings/180day-rendering-plant/
"Exhibit Hall",1918,,"59,035",/texts/buildings/065day-exhibit-hall/
"North Studio",1918,"1935,57","2,000",/texts/buildings/153day-north-studio/
"Soil Testing Lab","1919,56",,"55,507",/texts/buildings/200day-soil-testing-lab/
Armory,"1920,23",,"532,480",/texts/buildings/014day-armory/
"Field House, P.E.W.",1920,1953,"11,250",/texts/buildings/076day-field-house/
"Oak-Elm Lodges",1920,"1937,38","153,400",/texts/buildings/157day-oak-elm-lodges-dining/
"Davidson Hall","1921,42",,"135,489",/texts/buildings/052day-davidson-hall/
"Four Apartment House",1921,1967,"10,800",/texts/buildings/082day-four-apartment-house/
"Hog Barn & Pavilion",1921,"1969,76","23,620",/texts/buildings/102day-hog-barn-pavilion/
"Physics Hall","1921,50,60",,"2,344,687",/texts/buildings/167day-physics-hall/
"Birch Hall",1922,,"716,300",/texts/buildings/022day-birch-hall/
"Sheep Barn",1922,1969,"24,500",/texts/buildings/195day-sheep-barn/
"Ag. Engr. Shop & Shed",1923,1962,"3,344",/texts/buildings/004day-agricultural-eng-shop/
"Horse Barn *2",1923,(See Horse Barn and Machine Shed),,/texts/buildings/105day-horse-barn/
Library,"1923,60,67",,"3,855,238",/texts/buildings/125day-library/
"Cattle Barn","1924,31",,"38,969",/texts/buildings/036day-cattle-barn/
"Electric & Paint Shop",1924,1972,"18,000",/texts/buildings/059day-electric-paint-shop/
"Grounds Shop",1924,1972,"11,746",/texts/buildings/095day-grounds-shop/
"Horse Barn at Service Area",1924,1972,"9,500",/texts/buildings/106day-horse-barn-service/
"Judging Pavilion",1924,,"20,000",/texts/buildings/118day-judging-pavilion/
"MacKay Hall (Includes Domest. Tech)",1925,,"586,037",/texts/buildings/131day-mackay-lebaron-hall/
"Veterinary Obstetrics Lab",1925,,"110,934",/texts/buildings/221day-veterinary-obstetrics-lab/
"Veterinary Surgery",1925,,,/texts/buildings/222day-veterinary-surgery/
"Veterinary Physiology Res. Lab.",1925,1979,,/texts/buildings/223day-veterinary-physiology=research-lab/
"Horse Barn & Machine Shed (Includes Horse Barn #2)",1926,,"40,100",/texts/buildings/105day-horse-barn/
"Industrial Education II","1926,36",,"215,709",/texts/buildings/218day-veterinary-clinic/
"Sweeney Hall (Chem. Engr.) (See 1962)","1927,31",,"1,262,743",/texts/buildings/209day-sweeney-hall/
"Dairy Industry",1927,,"599,303",/texts/buildings/051day-dairy-industry/
"Hughes Hall (See Friley Hall)",1927,(with Friley),,/texts/buildings/084day-friley-hall/
"Insectary & Greenhouse","1927,67",,"252,654",/texts/buildings/116day-insectary-greenhouse/
"Memorial Union","1927,78",,*,/texts/buildings/140day-memorial-union/
"Welch Hall",1928,,"692,850",/texts/buildings/225day-welch-hall/
"Feed Storage Elevator",1929,1969,"9,889",/texts/buildings/074day-feed-storage-elevator/
"Genetics & Plant Path Greenhouse",1929,1969,"13,500",/texts/buildings/088day-genetics-plant-pathology-greenhouse/
"Ruminant Nutrition Lab",1929,,"62,661",/texts/buildings/185day-ruminant-nutrition-lab/
"Ag. Engir. Machine Shed",1931,,"7,200",/texts/buildings/003day-agricultural-eng-shed/
"Driver Training Storage",1931,,"2,359",/texts/buildings/054day-driving-training-storage/
"Military Garage",1931,,189,/texts/buildings/143day-military-garage/
"Genetics Laboratory","1931,48,52",,"166,284",/texts/buildings/087day-genetics-lab/
"Central Stores","1933,36",(See Phys. Plant Shops),,/texts/buildings/165day-physical-plant-shops/
"Genetics Poultry Lab",1933,,"1,715",/texts/1000day-minor-buildings/
"Nuclear Engineering Lab",1934,,"127,120",/texts/buildings/155day-nuclear-engineering-lab/
"Roberts Hall",1935,,"487,687",/texts/buildings/183day-roberts-hall/
"Mech. Eng. Lab (Connecting Link)",1936,,"127,854",/texts/buildings/139day-mechanical-engineering-lab/
"Elm Hall",1937,,,/texts/buildings/156day-oak-elm-halls/
"Oak Hall",1938,,"1,329,501",/texts/buildings/156day-oak-elm-halls/
"Snedecor Hall","1938,60",,"421,009",/texts/buildings/199day-snedecor-hall/
"Friley Hall","1939,41,49,53",,"3,968,162",/texts/buildings/084day-friley-hall/
"Agronomy Greenhouse","1940,50",,"44,035",/texts/buildings/006day-agronomy-greenhouse/
"ISU Press Bldg.","1940,47,51,55,64",,*,/texts/buildings/117day-isu-press/
"Library Storage Bldg.",1940,,"11,472",/texts/buildings/126day-library-storage/
"Physical Educ. (Women's Gym)","1940,70",,"2,822,149",/texts/buildings/164day-physical-education/
"Naval Armory",1942,,"68,499",/texts/buildings/150day-naval-armory/
"Plumbing Shop",1943,1972,"25,000",/texts/buildings/169day-plumbing-shop/
Cottages,1946,1960,?,/texts/buildings/047day-cottages/
"Pammel Court",1946,,"199,352",/texts/buildings/161day-pammel-court/
"Driver Training Lab",1947,,"12,712",/texts/buildings/053day-driver-training-lab/
"Metallurgy Bldg. (Ames Lab)",1947,,*,/texts/buildings/141day-metallurgy/
"Office & Laboratory (Link)",1947,,"593,990",/texts/buildings/158day-office-lab/
"Temporary Buildings ""C"" thru ""S""",1947,Various dates (see text),,/texts/buildings/212day-temp-buildings/
"Coover Hall",1948,,"1,223,538",/texts/buildings/045day-coover-hall/
"Genetics Chick Isolation",1948,,"27,227",/texts/1000day-minor-buildings/
"Plant Introduction Greenhouse","1948,53,62",,"58,897",/texts/buildings/168day-plant-intro-greenhouse/
"Synchrotron Building",1948,,"207,272",/texts/buildings/210day-synchrotron/
"Spedding Hall (Ames Lab)",1949,,*,/texts/buildings/203day-spedding-hall/
"Agronomy Hall",1950,,"863,483",/texts/buildings/007day-agronomy-hall/
"Child Development Bldg.",1951,,"255,421",/texts/buildings/039day-child-devel-building/
"Nickell-Fisher House",1951,,"118,017",/texts/buildings/151day-nickell-fisher-house/
Quadrangle-North,1954,,"552,046",/texts/buildings/179day-quadrangle-north/
"Westgate Hall",1954,,"356,628",/texts/buildings/226day-westgate-hall/
"Andrews-Richards House",1955,,"134,760",/texts/buildings/012day-andrews-richards-house/
"Linden Hall",1955,,"178,869",/texts/buildings/128day-linden-hall/
"Hawthorn Court","1956,58",,"1,343,139",/texts/buildings/098day-hawthorn-court/
"Helser Hall","1956,62",,"1,823,033",/texts/buildings/099day-helser-hall/
"Purchasing Warehouse",1956,,"16,712",/texts/buildings/177day-purchasing-warehouse/
"Metals Development Bldg. (Ames Lab)","1959,66",,*,/texts/buildings/142day-metals-development/
"Agronomy Laboratory",1960,,"58,179",/texts/buildings/008day-agronomy-lab/
"Biomedical Eng. Lab. (Part of Quadrangle)",1960,(with Quadrangle),,/texts/buildings/178day-quadrangle/
"Food Technology",1960,,"467,230",/texts/buildings/080day-food-tech-lab/
"Pearson Hall",1960,,"1,442,714",/texts/buildings/163day-pearson-hall/
"Genetics Storage Building",1961,,"2,500",/texts/1000day-minor-buildings/
"Research Reactor",1961,,*,/texts/buildings/181day-research-reactor/
"Communications Building","1962,79",,"1,009,648",/texts/buildings/043day-communications/
"Industrial Education",1962,,"176,094",/texts/buildings/114day-industrial-education/
"Sweeney Hall (includes Chem. E. - 1927)",1962,,"1,262,743",/texts/buildings/209day-sweeney-hall/
"Beyer Hall",1963,,"1,834,575",/texts/buildings/020day-beyer-hall/
"Buchanan Hall",1963,,"1,373,844",/texts/buildings/028day-buchanan-hall/
"Kildee Hall & Lush Auditorium",1963,,"2,102,130",/texts/buildings/120day-kildee-hall-lush-auditorium/
"Mechanical Maint. (Ames Lab)",1963,,*,/texts/buildings/010day-ames-lab-service/
"Knapp-Storms & Commons",1964,,"4,163,405",/texts/buildings/121day-knapp-storms/
"Physics Hall Addition",1964,,"2,344,687",/texts/buildings/167day-physics-hall/
"University Village","1964,67",,"6,165,699",/texts/buildings/216day-university-village/
"Bessey Hall",1965,,"3,502,127",/texts/buildings/018day-bessey-hall/
"Maple-Willow-Larch Halls","1965,67,68",,"7,908,325",/texts/buildings/133day-maple-willow-larch-halls/
"Warehouse (Ames Lab)",1965,,*,/texts/buildings/010day-ames-lab-reactor/
"Warehouse & Shop (Ames Lab)",1965,,*,/texts/buildings/010day-ames-lab-service/
"Maintenance Shop (Ames Lab)",1966,,*,/texts/buildings/010day-ames-lab-service/
"Botany Greenhouse",1966,,"370,852",/texts/buildings/026day-botany-forestry-greenhouse/
"Forestry Greenhouse",1966,,*,/texts/buildings/026day-botany-forestry-greenhouse/
"Firemanship Training",1966,,"165,287",/texts/buildings/078day-firemanship-training/
"Paint & Graphite Shop (Ames Lab)",1966,,*,/texts/buildings/010day-ames-lab-service/
"Parking Ramp (Memorial Union)",1966,,*,/texts/buildings/162day-parking-ramp-mu/
"C.Y. Stephens Auditorium",1966,,"4,353,586",/texts/buildings/207day-cy-stephens-auditorium/
"Wallace-Wilson & Commons","1966,67",,"5,104,511",/texts/buildings/224day-wallace-wilson-hall/
"Carver Hall",1967,,"2,671,554",/texts/buildings/034day-carver-hall/
"Computer Science",1967,,"936,752",/texts/buildings/044day-computer-science/
"Construction Storage Shed (Ames Lab)",1967,,*,/texts/buildings/010day-ames-lab-service/
"Printing Building",1967,,"291,452",/texts/buildings/175day-printing/
"Hilton Coliseum",1968,,"8,176,888",/texts/buildings/101day-hilton-coliseum/
"Horticulture Gardens Bldg.",1968,,"20,000",/texts/buildings/110day-horticulture-gardens/
"Car Pool Office Bldg.",1969,,"88,474",/texts/buildings/033day-carpool-office/
"East Hall Addition",1969,,"1,849,731",/texts/buildings/057day-east-hall-addition/
"Science Hall Addition #2",1969,,"4,185,214",/texts/buildings/191day-science-hall-addition/
"Town Engineering Bldg.",1969,,"3,252,684",/texts/buildings/214day-town-engineering/
"Ross Hall",1970,,"2,749,258",/texts/buildings/184day-ross-hall/
"Physical Plant Shops & Central Stores",1971,,"2,224,277",/texts/buildings/165day-physical-plant-shops/
"Fisher Theater",1972,,"907,912",/texts/buildings/079day-fisher-theater/
"Golf Club House",1972,,"39,931",/texts/buildings/090day-golf-club-house/
"Veterinary Medicine Facilities",1972,,"20,459,674",/texts/buildings/220day-veterinary-medicine-facilities/
"Olsen Building",1973,,*,/texts/buildings/159da-olsen/
"Stadium (South Campus)",1973,,*,/texts/buildings/205day-stadium-south/
"Physical Plant Storage Shed",1973,,"80,225",/texts/buildings/166day-physical-plant-storage/
"Scheman Continuing Education Bldg.",1973,,"4,811,831",/texts/buildings/188day-scheman-cont-ed/
"Schilletter Village",1973,,"5,417,248",/texts/buildings/189day-schilletter-village/
"College of Design",1975,,"7,058,251",/texts/buildings/042day-college-design/
"Meats Laboratory",1975,,"3,379,140",/texts/buildings/138day-meats-lab/
"Seed Science Building",1976,,"1,786,133",/texts/buildings/193day-seed-science/
"Music Building",1978,,Incomplete,/texts/buildings/148day-music-building/
"Horticulture Hall Addition",1978,,Incomplete,/texts/buildings/111day-horticulture-hall-greenhouse/
